Bar [ name=TA201, ClosingPrice=4610.0, HighestPrice=4610.0, LowestPrice=4610.0, OpeningPrice=4610.0 ]
Bar [ name=TA205, ClosingPrice=4666.0, HighestPrice=4666.0, LowestPrice=4666.0, OpeningPrice=4666.0 ]
Bar [ name=MA201, ClosingPrice=2646.0, HighestPrice=2646.0, LowestPrice=2646.0, OpeningPrice=2646.0 ]
Bar [ name=MA202, ClosingPrice=2609.0, HighestPrice=2609.0, LowestPrice=2609.0, OpeningPrice=2609.0 ]
Bar [ name=MA203, ClosingPrice=2592.0, HighestPrice=2592.0, LowestPrice=2592.0, OpeningPrice=2592.0 ]
Bar [ name=MA205, ClosingPrice=2568.0, HighestPrice=2568.0, LowestPrice=2568.0, OpeningPrice=2568.0 ]
Bar [ name=MA209, ClosingPrice=2546.0, HighestPrice=2546.0, LowestPrice=2546.0, OpeningPrice=2546.0 ]
Bar [ name=TA203, ClosingPrice=4618.0, HighestPrice=4618.0, LowestPrice=4618.0, OpeningPrice=4618.0 ]
Bar [ name=TA202, ClosingPrice=4604.0, HighestPrice=4604.0, LowestPrice=4604.0, OpeningPrice=4604.0 ]
Bar [ name=TA209, ClosingPrice=4716.0, HighestPrice=4716.0, LowestPrice=4716.0, OpeningPrice=4716.0 ]
Bar [ name=MA207, ClosingPrice=2559.0, HighestPrice=2559.0, LowestPrice=2559.0, OpeningPrice=2559.0 ]
Bar [ name=MA202, ClosingPrice=2609.0, HighestPrice=2609.0, LowestPrice=2609.0, OpeningPrice=2609.0 ]
Bar [ name=MA205, ClosingPrice=2568.0, HighestPrice=2568.0, LowestPrice=2568.0, OpeningPrice=2568.0 ]
Bar [ name=TA202, ClosingPrice=4604.0, HighestPrice=4604.0, LowestPrice=4604.0, OpeningPrice=4604.0 ]
Bar [ name=MA201, ClosingPrice=2646.0, HighestPrice=2646.0, LowestPrice=2646.0, OpeningPrice=2646.0 ]
Bar [ name=MA207, ClosingPrice=2559.0, HighestPrice=2559.0, LowestPrice=2559.0, OpeningPrice=2559.0 ]
Bar [ name=TA201, ClosingPrice=4610.0, HighestPrice=4610.0, LowestPrice=4610.0, OpeningPrice=4610.0 ]
Bar [ name=TA203, ClosingPrice=4618.0, HighestPrice=4618.0, LowestPrice=4618.0, OpeningPrice=4618.0 ]
Bar [ name=MA203, ClosingPrice=2592.0, HighestPrice=2592.0, LowestPrice=2592.0, OpeningPrice=2592.0 ]
Bar [ name=TA205, ClosingPrice=4666.0, HighestPrice=4666.0, LowestPrice=4666.0, OpeningPrice=4666.0 ]
Bar [ name=TA205, ClosingPrice=4666.0, HighestPrice=4666.0, LowestPrice=4666.0, OpeningPrice=4666.0 ]
Bar [ name=MA205, ClosingPrice=2568.0, HighestPrice=2568.0, LowestPrice=2568.0, OpeningPrice=2568.0 ]
Bar [ name=TA201, ClosingPrice=4610.0, HighestPrice=4610.0, LowestPrice=4610.0, OpeningPrice=4610.0 ]
Bar [ name=MA203, ClosingPrice=2592.0, HighestPrice=2592.0, LowestPrice=2592.0, OpeningPrice=2592.0 ]
Bar [ name=MA209, ClosingPrice=2546.0, HighestPrice=2546.0, LowestPrice=2546.0, OpeningPrice=2546.0 ]
Bar [ name=TA202, ClosingPrice=4604.0, HighestPrice=4604.0, LowestPrice=4604.0, OpeningPrice=4604.0 ]
Bar [ name=MA201, ClosingPrice=2646.0, HighestPrice=2646.0, LowestPrice=2646.0, OpeningPrice=2646.0 ]
Bar [ name=TA203, ClosingPrice=4618.0, HighestPrice=4618.0, LowestPrice=4618.0, OpeningPrice=4618.0 ]
Bar [ name=MA202, ClosingPrice=2609.0, HighestPrice=2609.0, LowestPrice=2609.0, OpeningPrice=2609.0 ]
Bar [ name=MA207, ClosingPrice=2559.0, HighestPrice=2559.0, LowestPrice=2559.0, OpeningPrice=2559.0 ]
